layer_idx,step_idx,head_idx,plane_idx,reads_count
1,0,0,24,12
1,0,0,25,14
1,0,0,26,8
1,0,0,27,7
1,0,0,28,9
1,0,0,29,12
1,0,0,30,10
1,0,0,31,11
1,0,1,0,12
1,0,1,1,10
1,0,1,2,13
1,0,1,3,13
1,0,1,4,9
1,0,1,5,9
1,0,1,6,12
1,0,1,7,12
1,0,1,8,14
1,0,1,9,14
1,0,1,10,13
1,0,1,11,15
1,0,1,12,10
1,0,1,13,10
1,0,1,14,8
1,0,1,15,12
1,0,1,16,14
1,0,1,17,15
1,0,1,18,15
1,0,1,19,11
1,0,1,20,14
1,0,1,21,13
1,0,1,22,15
1,0,1,23,14
1,0,1,24,12
1,0,1,25,12
1,0,1,26,14
1,0,1,27,10
1,0,1,28,8
1,0,1,29,7
1,0,1,30,11
1,0,1,31,11
1,0,2,0,9
1,0,2,1,8
1,0,2,2,11
1,0,2,3,12
1,0,2,4,12
1,0,2,5,14
1,0,2,6,13
1,0,2,7,12
1,0,2,8,11
1,0,2,9,14
1,0,2,10,10
1,0,2,11,11
1,0,2,12,12
1,0,2,13,13
1,0,2,14,12
1,0,2,15,9
1,0,2,16,10
1,0,2,17,11
1,0,2,18,12
1,0,2,19,9
1,0,2,20,10
1,0,2,21,9
1,0,2,22,11
1,0,2,23,8
1,0,2,24,10
1,0,2,25,11
1,0,2,26,12
1,0,2,27,11
1,0,2,28,13
1,0,2,29,14
1,0,2,30,15
1,0,2,31,12
1,0,3,0,10
1,0,3,1,10
1,0,3,2,9
1,0,3,3,12
1,0,3,4,16
1,0,3,5,18
1,0,3,6,13
1,0,3,7,13
1,0,3,8,14
1,0,3,9,9
1,0,3,10,12
1,0,3,11,14
1,0,3,12,13
1,0,3,13,14
1,0,3,14,13
1,0,3,15,12
1,0,3,16,12
1,0,3,17,10
1,0,3,18,11
1,0,3,19,10
1,0,3,20,13
1,0,3,21,11
1,0,3,22,10
1,0,3,23,12
1,0,3,24,12
1,0,3,25,12
1,0,3,26,9
1,0,3,27,9
1,0,3,28,10
1,0,3,29,10
1,0,3,30,10
1,0,3,31,10
1,0,4,0,11
1,0,4,1,9
1,0,4,2,10
1,0,4,3,12
1,0,4,4,13
1,0,4,5,13
1,0,4,6,15
1,0,4,7,15
1,0,4,8,19
1,0,4,9,17
1,0,4,10,15
1,0,4,11,11
1,0,4,12,11
1,0,4,13,13
1,0,4,14,7
1,0,4,15,8
1,0,4,16,10
1,0,4,17,8
1,0,4,18,13
1,0,4,19,12
1,0,4,20,13
1,0,4,21,13
1,0,4,22,15
1,0,4,23,15
1,0,4,24,16
1,0,4,25,10
1,0,4,26,14
1,0,4,27,14
1,0,4,28,11
1,0,4,29,10
1,0,4,30,8
1,0,4,31,11
1,0,5,0,11
1,0,5,1,12
1,0,5,2,12
1,0,5,3,9
1,0,5,4,8
1,0,5,5,12
1,0,5,6,14
1,0,5,7,14
1,0,5,8,15
1,0,5,9,14
1,0,5,10,14
1,0,5,11,11
1,0,5,12,12
1,0,5,13,11
1,0,5,14,13
1,0,5,15,11
1,0,5,16,13
1,0,5,17,12
1,0,5,18,13
1,0,5,19,12
1,0,5,20,10
1,0,5,21,12
1,0,5,22,9
1,0,5,23,13
1,0,5,24,16
1,0,5,25,14
1,0,5,26,12
1,0,5,27,12
1,0,5,28,16
1,0,5,29,11
1,0,5,30,9
1,0,5,31,13
1,0,6,0,13
1,0,6,1,10
1,0,6,2,10
1,0,6,3,11
1,0,6,4,11
1,0,6,5,7
1,0,6,6,10
1,0,6,7,13
1,0,6,8,12
1,0,6,9,10
1,0,6,10,13
1,0,6,11,18
1,0,6,12,14
1,0,6,13,12
1,0,6,14,12
1,0,6,15,14
1,0,6,16,15
